Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
clear braces dublin,15,15,140,71.74,2.00,https://www.3dental.ie/adult-braces/,0,0,0.00,0.88,1700000,"[35,27,81,81,19,19,27,42,54,42,100,54]",2020-12-24,"Knowledge panel, Site links, AdWords top, People also ask"
composite bonding cost turkey,15,15,90,48.78,0.00,https://www.3dental.ie/about/dentistry-abroad/,0,0,0.00,0,4120000,"[50,50,0,50,0,50,50,50,50,50,100,50]",2020-12-21,"Image pack, People also ask"
smiles price list,15,15,110,74.86,0.45,https://www.3dental.ie/price-list/,0,0,0.00,0.36,27600000,"[82,53,82,82,41,18,41,53,100,82,82,82]",2020-12-25,Site links
implant,15,16,1600,81.2,1.23,https://www.3dental.ie/dental-implants/,8,0.02,9.00,0.05,169000000,"[84,84,68,68,84,68,84,84,68,100,84,84]",2021-01-17,"Local pack, Image pack, Site links, People also ask"
laser teeth whitening dublin,15,15,140,65.17,1.01,https://www.3dental.ie/teeth-whitening/,0,0,0.00,0.93,338000,"[52,81,81,52,14,19,67,100,81,100,43,67]",2021-01-13,"Local pack, Image pack, Site links, Video Carousel, People also ask"
dentist,15,15,12100,75.47,0.98,https://www.3dental.ie/dublin/,60,0.17,59.00,0.06,412000000,"[30,37,37,37,30,37,45,45,55,100,82,45]",2021-01-16,"Knowledge panel, Local pack, People also ask"
bruxism,15,16,880,85.47,0.75,https://www.3dental.ie/teeth-grinding/,4,0.01,3.00,0.05,2340000,"[72,88,88,72,88,88,88,88,88,100,100,100]",2021-01-17,"Image pack, Site links, Featured snippet, People also ask"
dentist blanchardstown,15,14,1000,71.89,0.75,https://www.3dental.ie/,5,0.01,3.00,0.15,30800,"[37,63,55,45,37,45,81,100,81,63,63,63]",2021-01-17,"Local pack, Image pack, Site links, Reviews, FAQ"
smiles dental mullingar,15,15,90,73.32,1.02,https://www.3dental.ie/,0,0,0.00,0.29,88,"[43,43,29,14,14,14,0,14,57,100,29,71]",2021-01-11,"Local pack, Image pack, Site links, Reviews, Video"
teeth whitening gel,15,15,320,74.97,0.56,https://www.3dental.ie/teeth-whitening/,1,0,0.00,1,15900000,"[67,54,82,82,82,100,100,82,82,82,54,82]",2020-12-24,"Local pack, Image pack, Reviews, People also ask"
teeth whitening before and after,15,15,110,68.93,0.84,https://www.3dental.ie/teeth-whitening/,0,0,0.00,0.87,96100000,"[65,53,82,65,41,41,65,82,82,100,82,82]",2021-01-03,"Local pack, Image pack, People also ask"
dentist naas,15,13,1000,71.48,1.00,https://www.3dental.ie/dublin/,5,0.01,5.00,0.04,541000,"[55,81,55,55,45,55,63,100,81,81,63,81]",2021-01-17,"Local pack, Site links"
dental hygienist dublin,16,16,110,66.87,0.61,https://www.3dental.ie/scale-and-polish/,0,0,0.00,0.18,652000,"[81,43,81,52,24,10,24,52,52,100,67,67]",2020-12-31,"Local pack, AdWords bottom, People also ask"
how to stop grinding teeth,16,16,140,78.77,0.19,https://www.3dental.ie/blog/how-to-stop-teeth-grinding-top-tips/,0,0,0.00,0.17,8920000,"[65,65,82,65,100,100,100,82,82,100,82,100]",2021-01-14,"Site links, Featured snippet, People also ask"
clear braces dublin,16,16,140,71.74,2.00,https://www.3dental.ie/orthodontics/,0,0,0.00,0.88,1700000,"[35,27,81,81,19,19,27,42,54,42,100,54]",2020-12-24,"Knowledge panel, Site links, AdWords top, People also ask"
gummy smile,16,16,260,61.11,1.72,https://www.3dental.ie/gingivectomy/,1,0,2.00,0.04,20400000,"[67,67,54,67,44,67,54,82,82,82,100,82]",2021-01-14,"Featured snippet, People also ask"
smile clinic tallaght,16,16,90,66.64,0.87,https://www.3dental.ie/,0,0,0.00,0.28,91,"[20,20,20,100,20,80,20,20,100,20,100,20]",2020-12-25,"Local pack, Image pack, Site links, FAQ"
flexi ie,16,16,90,80.18,0.60,https://www.3dental.ie/flexifi/,0,0,0.00,0.08,25200000,"[100,11,11,11,11,22,11,11,11,11,11,11]",2021-01-16,"Knowledge panel, Site links, People also ask"
gurranabraher dental,16,16,480,75.38,1.10,https://www.3dental.ie/price-list/,0,0,0.00,0.01,38,"[16,13,11,16,16,25,25,55,77,68,68,100]",2020-12-26,"Knowledge panel, Image pack"
three limerick,16,16,320,88.08,0.00,https://www.3dental.ie/limerick/,0,0,0.00,0,23500000,"[82,82,67,67,82,36,82,100,82,82,67,82]",2020-12-30,"Local pack, Site links, Reviews, People also ask"
mouth guard for teeth grinding,17,17,390,82.89,0.29,https://www.3dental.ie/blog/how-to-stop-teeth-grinding-top-tips/,1,0,0.00,1,6520000,"[67,54,54,54,67,100,100,81,67,44,100,100]",2021-01-06,People also ask
dentures,17,17,1300,69.86,0.88,https://www.3dental.ie/implant-retained-dentures/,5,0.01,4.00,0.17,36500000,"[53,68,68,53,53,68,84,68,68,68,84,100]",2021-01-17,"Local pack, Top stories, Image pack, Video Carousel, People also ask"
cap or crown,17,17,90,63.07,0.00,https://www.3dental.ie/blog/the-dental-crown-procedure-explained/,0,0,0.00,1,209000000,"[0,0,0,67,0,0,33,33,33,33,0,100]",2021-01-13,"Image pack, Site links, Featured snippet, People also ask"
dentures dublin,17,17,210,65.48,0.50,https://www.3dental.ie/implant-retained-dentures/,0,0,0.00,0.84,610000,"[81,81,100,81,81,42,65,65,100,81,65,54]",2020-12-27,"Local pack, People also ask"
denture options and cost,17,17,90,63.7,0.00,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,0,0,0.00,0,1450000,"[100,50,0,0,50,0,0,0,50,50,0,0]",2020-12-28,"Site links, Featured snippet, People also ask"
before after veneers,17,17,140,62.27,0.00,https://www.3dental.ie/veneers-in-a-day/,0,0,0.00,0,13800000,"[22,22,81,44,28,28,34,34,66,100,53,66]",2021-01-03,"Image pack, People also ask"
old quarter,18,18,480,86.92,0.00,https://www.3dental.ie/,0,0,0.00,0.01,571000000,"[11,14,14,14,6,2,9,17,100,53,46,21]",2020-12-30,"Local pack, Site links, Reviews, Video Carousel"
price list,18,18,170,77.97,0.00,https://www.3dental.ie/price-list/,0,0,0.00,0.02,12070000000,"[81,54,81,65,54,35,42,100,81,54,54,54]",2021-01-07,Image pack
smiles tallaght,18,19,720,77.23,0.75,https://www.3dental.ie/,0,0,0.00,0.16,38500,"[82,100,82,67,44,67,82,100,100,82,82,82]",2021-01-17,"Knowledge panel, Image pack, Site links, Video, People also ask, FAQ"
happy dental,18,6,320,67.06,0.87,https://www.3dental.ie/,0,0,0.00,0.05,299000000,"[44,67,67,67,36,54,82,82,100,100,100,100]",2021-01-17,"Knowledge panel, Site links, Reviews, Video, Video Carousel"
naas orthodontics,18,18,170,66.21,1.50,https://www.3dental.ie/,0,0,0.00,0.09,100,"[44,44,53,34,66,28,53,81,53,66,81,100]",2021-01-08,"Knowledge panel, Image pack, Site links, Video"
dublin bridge,18,19,720,81.7,0.00,https://www.3dental.ie/bridges/,0,0,0.00,0,0,"[100,100,88,88,88,72,48,48,48,72,59,72]",2021-01-17,"Carousel, Image pack, Site links, Video, Video Carousel"
oral surgeon,18,18,210,71.22,0.89,https://www.3dental.ie/dental-surgery/,0,0,0.00,0.09,182000000,"[29,29,44,35,29,23,29,44,44,54,100,81]",2020-12-24,"Local pack, Image pack, People also ask"
cheap dentist to pull teeth near me,18,18,90,61.26,0.00,https://www.3dental.ie/,0,0,0.00,0,90900000,"[0,0,0,50,0,0,0,100,0,0,50,0]",2020-12-31,"Local pack, People also ask"
can a normal dentist remove wisdom teeth,18,18,90,72.88,0.00,https://www.3dental.ie/tooth-extractions/,0,0,0.00,0,2880000,"[33,33,33,33,33,0,67,33,0,100,0,0]",2021-01-07,"Site links, Featured snippet, People also ask"
graft,18,18,480,92.58,0.00,https://www.3dental.ie/bone-grafts/,1,0,0.00,0.01,125000000,"[54,81,81,81,81,81,81,66,66,66,100,81]",2021-01-13,"Instant answer, Image pack, Video Carousel, People also ask"
dentures portlaoise,19,19,90,70.68,0.32,https://www.3dental.ie/price-list/,0,0,0.00,0.4,41,"[14,57,43,14,14,29,100,43,14,14,14,14]",2021-01-06,"Local pack, Image pack, AdWords top, People also ask"
old quarter limerick,19,19,390,87.66,0.71,https://www.3dental.ie/limerick/,0,0,0.00,0.02,2310000,"[32,32,21,39,26,5,11,17,88,72,100,72]",2020-12-25,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel, FAQ"
three dublin,19,19,480,89.17,0.00,https://www.3dental.ie/,0,0,0.00,0,195000000,"[81,66,66,100,66,100,100,81,81,100,81,81]",2020-12-28,"Local pack, Site links, Reviews"
polish clinic dublin,19,19,110,63.18,0.44,https://www.3dental.ie/dublin/,0,0,0.00,0.12,4450000,"[65,65,82,65,65,41,41,65,82,100,100,65]",2021-01-01,"Knowledge panel, Site links, Reviews"
flexi fi interest rate,19,19,110,83.31,0.23,https://www.3dental.ie/flexifi/,0,0,0.00,0.05,5360000,"[100,64,100,79,64,50,50,100,64,100,100,79]",2021-01-05,"Site links, Reviews, People also ask"
dentist dublin city centre,20,20,210,63.83,0.78,https://www.3dental.ie/dublin/,0,0,0.00,0.21,957000,"[81,100,81,66,66,81,34,66,44,53,44,53]",2021-01-15,"Local pack, Site links"
castletroy orthodontics,20,20,110,70.58,1.75,https://www.3dental.ie/,0,0,0.00,0.34,52,"[65,100,42,42,42,54,65,54,19,27,27,19]",2020-12-31,"Knowledge panel, Image pack, Video, AdWords top"
oral surgeon dublin,20,20,140,69.14,0.59,https://www.3dental.ie/dental-surgery/,0,0,0.00,0.17,718000,"[100,67,81,67,67,67,81,67,52,81,67,43]",2021-01-13,"Local pack, People also ask"
the old quarter limerick,20,20,320,85.42,0.00,https://www.3dental.ie/limerick/,0,0,0.00,0,1880000,"[24,24,24,24,13,3,13,24,100,67,82,44]",2021-01-08,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel, FAQ"
how to treat mouth ulcers,20,20,170,85.9,0.00,https://www.3dental.ie/blog/all-about-mouth-sores-causes-treatments/,0,0,0.00,0.34,22200000,"[81,67,67,81,100,100,67,81,67,67,81,81]",2021-01-15,"Site links, Featured snippet, People also ask"
dental care ireland,20,19,1600,81.32,1.18,https://www.3dental.ie/,0,0,1.00,0.09,56800000,"[53,84,68,68,46,68,84,100,84,84,84,84]",2021-01-17,"Local pack, Site links, Tweet, People also ask"
emergency toothache relief,20,20,140,63.55,1.76,https://www.3dental.ie/blog/how-to-ease-the-pain-caused-by-toothache/,0,0,0.00,0.97,4570000,"[19,35,19,27,35,65,54,65,65,81,100,81]",2021-01-06,"Image pack, Site links, Featured snippet, People also ask"
dr moran long mile road,20,20,90,77.03,0.00,https://www.3dental.ie/dublin/,0,0,0.00,0,47,"[25,50,25,25,25,50,25,25,50,100,25,75]",2021-01-06,"Knowledge panel, Site links, Reviews"
crown,20,16,4400,82.26,0.87,https://www.3dental.ie/crowns/,13,0.03,11.00,0.4,704000000,"[44,55,44,55,82,67,55,55,55,55,55,100]",2021-01-17,"Knowledge panel, Local pack, Top stories, Site links, Reviews, Video Carousel, People also ask"
teeth whitening kit ireland,21,21,320,77.87,0.75,https://www.3dental.ie/teeth-whitening/,0,0,0.00,1,2530000,"[19,19,12,15,66,100,66,54,44,44,66,100]",2021-01-14,"Site links, Reviews, AdWords top, People also ask"
best teeth whitening kits ireland,21,21,140,81.67,0.74,https://www.3dental.ie/teeth-whitening/,0,0,0.00,1,2930000,"[27,27,35,27,42,65,100,100,81,35,35,42]",2021-01-04,"Site links, Video, People also ask"
dr moran long mile road,21,21,90,77.03,0.00,https://www.3dental.ie/,0,0,0.00,0,47,"[25,50,25,25,25,50,25,25,50,100,25,75]",2021-01-06,"Knowledge panel, Site links, Reviews"
veneers newry,21,21,90,56.44,0.58,https://www.3dental.ie/porcelain-veneers/,0,0,0.00,0.33,90,"[22,100,33,11,11,11,11,11,11,11,44,22]",2021-01-14,"Local pack, Image pack, People also ask"
smiles dental dublin,22,23,1300,85.38,0.83,https://www.3dental.ie/,0,0,0.00,0.36,610000,"[68,100,68,46,31,46,53,68,46,84,68,68]",2021-01-17,"Local pack, Site links, People also ask"
dentist tralee prices,22,0,90,63.45,0.00,https://www.3dental.ie/,0,0,0.00,0.14,70,"[11,22,22,100,11,11,11,11,11,78,11,11]",2021-01-17,"Local pack, Image pack, Reviews, People also ask"
dentist open today,22,22,210,75.8,1.44,https://www.3dental.ie/blog/we-are-open/,0,0,0.00,0.33,978000000,"[15,100,36,24,81,54,36,19,12,8,7,19]",2021-01-09,"Local pack, People also ask"
prsi dental checker,22,22,170,78.42,0.81,https://www.3dental.ie/blog/prsi-dental-entitlements-in-2020/,0,0,0.00,0.02,31400,"[28,28,28,54,36,3,5,23,54,54,82,100]",2021-01-05,People also ask
smiles price list,22,22,110,74.86,0.45,https://www.3dental.ie/,0,0,0.00,0.36,27600000,"[82,53,82,82,41,18,41,53,100,82,82,82]",2020-12-25,Site links
home remedies for toothache,22,22,480,70.2,3.02,https://www.3dental.ie/blog/5-ways-to-ease-toothache/,0,0,2.00,0.28,54100000,"[54,67,82,67,67,100,100,54,36,54,36,36]",2020-12-23,"Site links, People also ask"
my3 login ireland,22,22,260,86.62,0.00,https://www.3dental.ie/,0,0,0.00,0,48,"[54,35,29,29,35,100,81,54,67,54,67,81]",2020-12-24,"Site links, Reviews, Video"
inchicore dentist,22,22,320,73.11,1.01,https://www.3dental.ie/about/meet-the-team/,0,0,0.00,0.03,54,"[54,54,54,67,44,35,54,67,81,100,81,81]",2021-01-07,"Local pack, Image pack"
o connell street dentist,22,22,110,72.44,0.00,https://www.3dental.ie/about/meet-the-team/,0,0,0.00,0,3710000,"[43,33,52,24,33,33,52,81,100,81,81,81]",2021-01-04,"Knowledge panel, Image pack, Site links, Reviews, FAQ"
park dental naas,22,22,110,70.34,2.01,https://www.3dental.ie/dublin/,0,0,0.00,0.02,220000,"[65,41,82,53,53,12,53,100,82,100,100,100]",2020-12-23,"Knowledge panel, Image pack, Site links, Reviews"
smiles dental galway,22,23,720,77.15,0.81,https://www.3dental.ie/,0,0,0.00,0.23,215000,"[82,100,82,82,44,55,82,100,100,100,82,100]",2021-01-17,"Knowledge panel, Image pack, Site links, AdWords top"
dental hygienist pay scale ireland,23,23,90,78.59,0.00,https://www.3dental.ie/scale-and-polish/,0,0,0.00,0,1160000,"[11,0,11,22,100,0,11,11,11,11,0,0]",2021-01-16,"Image pack, Featured snippet, People also ask"
turkey dental trip,23,23,90,53.07,0.99,https://www.3dental.ie/about/dentistry-abroad/,0,0,0.00,0.22,6510000,"[0,0,0,0,0,0,0,0,0,0,0,100]",2021-01-12,"Video, People also ask"
naas dental centre,23,23,110,76.46,1.82,https://www.3dental.ie/dublin/,0,0,0.00,0.01,183000,"[16,13,22,22,16,9,13,22,44,66,81,100]",2021-01-11,"Knowledge panel, Site links, Reviews"
do it yourself dental implants,23,23,90,61.39,0.00,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,0,0,0.00,0,14700000,"[0,0,100,0,0,0,0,0,14,0,14,43]",2020-12-29,"Image pack, Featured snippet, People also ask"
cheap dentist to pull teeth near me,23,23,90,61.26,0.00,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,0,0,0.00,0,90900000,"[0,0,0,50,0,0,0,100,0,0,50,0]",2020-12-31,"Local pack, People also ask"
teeth whitening near me,23,23,140,56.27,0.70,https://www.3dental.ie/teeth-whitening/,0,0,0.00,0.64,55200000,"[27,35,42,42,65,42,42,65,81,100,81,81]",2021-01-07,"Local pack, People also ask"
veneers cork prices,23,23,90,63.24,0.86,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,0,0,0.00,0.89,629000,"[20,20,40,80,20,20,80,20,100,60,20,20]",2020-12-31,"Local pack, Image pack, Site links, People also ask"
makeover,24,24,140,76.23,0.00,https://www.3dental.ie/smile-gallery/,0,0,0.00,0,503000000,"[82,82,100,100,100,100,100,100,82,82,82,82]",2020-12-25,"Knowledge panel, Local pack, Reviews, Image, Video Carousel, People also ask"
does red bull stain teeth,24,24,90,53.86,0.00,https://www.3dental.ie/blog/5-most-faqs-on-clear-braces/,0,0,0.00,0,6580000,"[0,0,0,14,0,43,0,100,14,14,14,43]",2021-01-05,"Image pack, Featured snippet, People also ask"
compare teeth whitening,25,25,90,86.48,0.00,https://www.3dental.ie/teeth-whitening/,0,0,0.00,0,98300000,"[0,0,0,0,0,0,0,0,100,0,0,0]",2021-01-15,"Top stories, People also ask, FAQ"
braces adjustment cost,25,25,90,62.96,0.00,https://www.3dental.ie/six-month-braces/,0,0,0.00,0,6220000,"[100,0,0,0,0,100,100,0,0,0,0,0]",2021-01-06,"Site links, People also ask"
dental bonding uk,25,25,90,45.87,0.00,https://www.3dental.ie/blog/7-things-you-need-to-know-about-composite-bonding/,0,0,0.00,0,4890000,"[0,75,0,100,0,0,0,0,25,75,0,0]",2021-01-08,"Featured snippet, People also ask"
contact 3,25,25,590,75.32,0.00,https://www.3dental.ie/,0,0,0.00,0.01,25270000000,"[48,39,59,32,59,100,88,72,59,48,39,32]",2020-12-27,"Site links, Reviews, People also ask"
three naas,26,26,170,81.62,0.00,https://www.3dental.ie/dublin/,0,0,0.00,0,2950000,"[65,65,27,65,12,54,100,81,54,42,65,81]",2021-01-14,"Knowledge panel, Site links, Reviews, FAQ"
flexi pay,26,26,110,82.01,1.26,https://www.3dental.ie/flexifi/,0,0,0.00,0.03,43500000,"[53,29,41,41,53,53,53,53,82,82,82,100]",2021-01-12,"Knowledge panel, Site links, People also ask"
my dental cherrywood,26,26,320,74.77,2.27,https://www.3dental.ie/crowns/,0,0,0.00,0.05,1280000,"[67,67,100,81,44,23,54,81,81,81,67,81]",2020-12-29,"Knowledge panel, Image pack, Site links, Reviews, AdWords top, FAQ"
teeth whitening ireland,26,26,390,76.04,0.80,https://www.3dental.ie/teeth-whitening/,0,0,0.00,1,4460000,"[44,36,54,36,44,66,100,81,81,81,81,81]",2020-12-27,"Local pack, Site links, People also ask"
3 ie,26,26,3600,87.68,0.83,https://www.3dental.ie/,1,0,0.00,0.31,1940000000,"[67,54,54,67,100,100,81,67,67,67,67,81]",2021-01-17,"Local pack, Site links, Reviews, Tweet, Video, Video Carousel, People also ask"
do you have to get braces,26,26,90,74.68,0.00,https://www.3dental.ie/blog/do-6-month-braces-actually-work/,0,0,0.00,0,159000000,"[50,50,0,0,0,0,100,25,0,100,0,0]",2020-12-21,"Featured snippet, People also ask"
emergency dentist tralee,26,26,90,65.61,1.24,https://www.3dental.ie/,0,0,0.00,0.07,79,"[1,1,3,10,29,24,100,1,4,29,3,1]",2021-01-08,"Local pack, Image pack, People also ask"
my3 ie,27,22,5400,88.71,0.00,https://www.3dental.ie/,1,0,0.00,0.01,86,"[54,67,36,44,81,100,54,54,54,81,81,81]",2021-01-17,"Image pack, Reviews, Video"
smiles dental blanchardstown,27,27,320,79.18,0.52,https://www.3dental.ie/,0,0,0.00,0.18,93,"[67,81,81,67,44,23,35,54,81,100,100,100]",2020-12-21,"Knowledge panel, Image pack, Site links, FAQ"
gum shield,27,47,880,76.36,0.33,https://www.3dental.ie/blog/braces-and-sports-guards/,1,0,0.00,1,26400000,"[38,46,38,31,25,31,38,100,53,53,31,53]",2021-01-17,"Local pack, Image pack, Reviews, People also ask"
smile store cork,27,27,210,79.64,1.13,https://www.3dental.ie/,0,0,0.00,0.3,98,"[66,53,81,81,53,28,28,66,81,66,81,100]",2021-01-09,"Knowledge panel, Image pack, Site links, Video Carousel"
red cow parking,27,27,210,84.89,1.48,https://www.3dental.ie/dublin/,0,0,0.00,0.03,27300000,"[100,81,81,81,35,2,4,10,23,29,19,10]",2021-01-07,"Knowledge panel, Image pack, Reviews, Video, People also ask, FAQ"
red cow tripadvisor,27,27,210,79.22,0.00,https://www.3dental.ie/dublin/,0,0,0.00,0,75,"[8,23,23,54,67,54,67,35,44,29,100,54]",2020-12-25,"Image pack, Reviews, Video"
best teeth whitening kit,27,27,1000,86.18,0.63,https://www.3dental.ie/teeth-whitening/,1,0,0.00,1,17500000,"[63,55,55,45,100,100,63,63,63,45,55,81]",2021-01-17,"Video, Video Carousel, People also ask, FAQ"
dr ignacio,27,27,90,62.29,0.00,https://www.3dental.ie/about/meet-the-team/,0,0,0.00,0,48000000,"[0,0,100,100,0,0,100,100,100,0,100,0]",2020-12-29,"Reviews, FAQ"
bernard vallely,28,28,90,72.19,0.00,https://www.3dental.ie/about/meet-the-team/,0,0,0.00,0,500000,"[25,100,75,50,50,25,25,25,50,25,25,25]",2021-01-01,"Image pack, Video"
tooth pain,28,28,390,87.61,3.52,https://www.3dental.ie/blog/5-ways-to-ease-toothache/,0,0,2.00,0.25,1080000000,"[81,81,81,67,100,100,100,81,81,81,81,81]",2021-01-13,"Site links, People also ask"
teeth before veneers,28,28,590,60.27,0.00,https://www.3dental.ie/porcelain-veneers/,0,0,0.00,0,47000000,"[13,11,100,45,37,20,24,24,45,63,30,37]",2020-12-27,"Image pack, People also ask"
aib naas road,28,28,320,79.67,0.00,https://www.3dental.ie/dublin/,0,0,0.00,0,79600,"[100,100,100,82,82,82,54,82,82,82,100,100]",2020-12-26,"Knowledge panel, Site links, Video"
walk in clinic raheen,28,28,110,76,0.00,https://www.3dental.ie/limerick/,0,0,0.00,0.01,63,"[41,65,100,53,82,41,65,82,100,100,65,65]",2020-12-28,"Local pack, Site links, Reviews, FAQ"
smiles dublin,28,28,140,84.04,0.81,https://www.3dental.ie/,0,0,0.00,0.32,4420000,"[100,82,100,100,41,29,41,65,100,82,82,65]",2020-12-23,"Local pack, Site links, Reviews, AdWords top"
dentist teeth cleaning,28,28,110,74.84,0.48,https://www.3dental.ie/scale-and-polish/,0,0,0.00,0.85,38900000,"[53,53,65,82,53,18,41,82,100,82,82,82]",2021-01-03,"Local pack, Image pack, Site links, People also ask"
metal braces,28,28,320,70.18,1.15,https://www.3dental.ie/adult-braces/,0,0,0.00,0.92,293000000,"[54,36,67,67,67,67,100,100,100,100,100,100]",2020-12-30,"Image pack, People also ask"
orthodontist near me,28,28,260,62.95,1.45,https://www.3dental.ie/,0,0,0.00,0.54,356000000,"[67,54,54,44,54,82,82,82,67,67,44,100]",2020-12-31,"Local pack, Site links, People also ask"
red cow dublin,28,28,590,85.04,0.52,https://www.3dental.ie/dublin/,0,0,0.00,0.19,4950000,"[38,31,100,38,21,9,9,17,25,31,21,21]",2021-01-10,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel, People also ask, FAQ"
can you fix gum recession,28,28,90,62.35,0.00,https://www.3dental.ie/gum-treatments/,0,0,0.00,0,2910000,"[100,100,100,0,0,100,100,100,100,100,0,100]",2020-12-27,"Site links, Featured snippet, People also ask"
paul conroy dentist,28,28,260,72.62,0.00,https://www.3dental.ie/about/meet-the-team/,0,0,0.00,0,4260000,"[36,29,36,19,36,24,44,44,100,54,44,44]",2020-12-30,"Knowledge panel, Reviews, Video"
dentist sandyford,28,28,260,72.84,0.98,https://www.3dental.ie/,0,0,0.00,0.07,84,"[67,100,54,54,36,36,100,67,100,67,82,82]",2021-01-14,"Local pack, Image pack, Site links"
dentist blanchardstown village,29,29,210,69.51,0.99,https://www.3dental.ie/,0,0,0.00,0.09,76,"[53,81,81,53,34,44,100,81,81,100,100,81]",2021-01-15,"Local pack, Image pack, Site links, Reviews"
wisdom teeth,29,30,3600,80.47,2.35,https://www.3dental.ie/blog/wisdom-tooth-extraction-what-to-know/,5,0.01,12.00,0.05,58800000,"[66,66,66,66,82,82,82,82,82,66,100,82]",2021-01-17,"Local pack, Image pack, Site links, People also ask"
flexi fi,29,28,14800,83,0.59,https://www.3dental.ie/flexifi/,4,0.01,2.00,0.1,109000000,"[67,82,82,82,82,82,82,100,100,100,100,100]",2021-01-16,"Knowledge panel, Site links"
smiles dental access package,29,29,110,71.77,0.57,https://www.3dental.ie/,0,0,0.00,0.16,91,"[52,52,100,67,33,24,33,43,43,43,43,43]",2020-12-28,"Image pack, People also ask"
smiles blanchardstown,29,29,390,79.28,0.66,https://www.3dental.ie/,0,0,0.00,0.19,25500,"[100,81,67,100,81,29,29,81,81,67,100,100]",2020-12-29,"Knowledge panel, Site links, AdWords top, FAQ"
best teeth whitening bleach,29,29,90,82.2,0.39,https://www.3dental.ie/teeth-whitening/,0,0,0.00,1,2810000,"[11,11,56,11,56,100,22,11,78,44,33,11]",2020-12-29,"Featured snippet, People also ask"
dentist dooradoyle,29,29,110,71.58,0.67,https://www.3dental.ie/limerick/,0,0,0.00,0.12,83,"[65,100,41,53,29,53,65,82,82,65,65,65]",2021-01-16,"Local pack, Image pack, Site links, Reviews"
mcmahon dental,29,29,210,70.21,0.00,https://www.3dental.ie/about/meet-the-team/,0,0,0.00,0,1340000,"[36,54,54,67,28,36,67,82,100,54,67,67]",2021-01-14,"Knowledge panel, Image pack, Site links, Reviews, Video, AdWords bottom"
3 store limerick,29,29,110,90.74,0.00,https://www.3dental.ie/,0,0,0.00,0,15300000,"[79,100,64,50,100,36,79,100,100,64,79,50]",2021-01-05,"Local pack, Site links"
do teeth whitening trays from the dentist work,29,29,90,67.63,0.00,https://www.3dental.ie/teeth-whitening/,0,0,0.00,1,337000,"[0,14,0,14,100,14,29,0,0,0,0,14]",2021-01-07,People also ask
overlapping front teeth,29,29,90,38.73,0.97,https://www.3dental.ie/blog/7-things-you-need-to-know-about-composite-bonding/,0,0,0.00,0.14,5730000,"[33,33,33,67,33,33,33,33,33,33,100,67]",2021-01-12,"Image pack, Site links, Featured snippet, People also ask"
dentist dublin city,30,31,140,63.28,0.81,https://www.3dental.ie/dublin/,0,0,0.00,0.13,1960000,"[65,100,81,65,65,100,19,35,27,27,27,27]",2021-01-17,"Local pack, Site links, Video"
brilliant smile dublin,30,30,170,77.22,0.85,https://www.3dental.ie/,0,0,0.00,0.16,91,"[65,35,81,54,35,35,81,100,100,54,54,65]",2020-12-27,"Knowledge panel, Image pack, Reviews"
smiles dental cork,30,32,720,73.87,0.69,https://www.3dental.ie/,0,0,0.00,0.27,588000,"[82,100,82,67,44,67,82,82,82,67,82,67]",2021-01-17,"Knowledge panel, Site links, Reviews, Video, AdWords top, FAQ"
3 contact number,30,30,260,79.52,0.00,https://www.3dental.ie/,0,0,0.00,0,25270000000,"[54,36,44,44,67,82,67,82,54,100,100,100]",2020-12-23,"Site links, People also ask"
newlands dental,30,30,480,67.39,0.88,https://www.3dental.ie/,0,0,0.00,0.02,1180000,"[66,54,66,66,54,44,66,100,100,81,81,100]",2021-01-08,"Knowledge panel, Site links, Reviews, Video"
getting braces,30,30,90,74.92,1.33,https://www.3dental.ie/kids-braces/,0,0,0.00,0.36,122000000,"[20,20,20,20,40,20,40,20,100,20,20,40]",2020-12-28,"Image pack, Site links, People also ask"
open dental,30,30,260,67.15,0.74,https://www.3dental.ie/,0,0,0.00,0.17,602000000,"[3,8,3,2,36,82,100,67,19,13,6,13]",2021-01-03,"Knowledge panel, Site links, Reviews, Video Carousel, People also ask"
snoring treatment dublin,30,30,90,61.94,0.43,https://www.3dental.ie/snoring-devices/,0,0,0.00,0.94,470000,"[14,29,14,14,14,14,14,14,14,29,100,57]",2021-01-11,"Knowledge panel, Image pack, People also ask"
dentist athlone,30,31,880,77,0.59,https://www.3dental.ie/price-list/,0,0,0.00,0.15,115000,"[45,68,55,45,37,55,77,77,77,77,100,77]",2021-01-17,"Local pack, Image pack, Site links, Reviews, Video, Video Carousel"
what causes teeth grinding,31,31,90,81.79,0.58,https://www.3dental.ie/teeth-grinding/,0,0,0.00,0.11,6720000,"[25,25,25,25,50,25,25,25,25,100,75,25]",2021-01-03,"Image pack, Site links, Featured snippet, People also ask"
